smiles,solvent,log_lifetime
N#Cc1cc2ccc([O-])cc2oc1=O,O,0.597910649460041
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,0.5809249756756193
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,0.6720978579357175
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,0.4471580313422192
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,0.4913616938342727
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,0.5314789170422551
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,0.4913616938342727
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,0.5797835966168101
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,0.6127838567197355
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,0.6627578316815741
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,-0.22184874961635637
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,-0.07058107428570727
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,0.43136376415898736
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,0.414973347970818
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,0.5185139398778874
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,0.6532125137753437
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,0.7708520116421442
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,0.6334684555795865
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,0.7323937598229685
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,0.7481880270062005
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,0.5314789170422551
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,0.5440680443502757
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,0.6232492903979004
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,0.7481880270062005
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,0.7075701760979364
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,0.7160033436347992
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,0.505149978319906
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,0.4471580313422192
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,0.5440680443502757
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,0.8864907251724818
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,0.568201724066995
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,0.18184358794477254
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,0.6190933306267428
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],0.2648178230095365
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],0.21484384804769785
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],0.6394864892685861
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],0.6394864892685861
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],0.6812412373755872
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,0.39093510710337914
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,0.33243845991560533
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,0.631443769013172
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,0.6618126855372612
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,0.3891660843645325
